c_personid,c_entry_code,c_year
1857,36,1121
1859,36,992
1863,36,1103
1865,36,1057
1872,36,1118
1875,36,1100
1877,36,992
1878,36,1106
1879,36,1015
1880,36,975
1882,36,1002
1890,36,1059
1894,36,1063
1897,36,1046
1900,36,1094
1901,36,1002
1902,165,1065
1903,36,1008
1911,36,1009
1912,36,983
1914,36,1109
1918,36,1124
1919,36,1027
1922,165,1024
1923,36,1115
1932,36,1112
1936,36,1145
1937,36,1063
1940,36,1124
1941,36,1142
1948,36,980
1950,36,977
1953,36,1027
1956,36,1097
1959,36,1057
1960,36,1038
1961,36,1030
1965,36,1063
1967,36,1038
1969,36,1109
1970,36,1132
1971,36,1106
1972,36,1085
1977,36,1079
1978,36,1106
1980,36,1049
1981,36,1073
1983,36,1034
1986,36,1012
1987,36,1106
1988,36,1067
1994,36,1034
1996,36,1124
1998,36,1057
2000,36,1065
2003,36,1008
2007,36,1053
2009,36,1027
2015,165,998
2020,36,1046
2021,36,1142
2022,36,1076
2024,36,983
2029,36,989
2036,36,1151
2038,36,1109
2039,36,1015
2040,165,983
2042,165,1085
2043,165,1097
2045,165,1024
2049,36,1128
2050,36,1053
2051,36,1076
2054,36,1097
2055,36,1061
2057,36,1057
2058,36,1132
2063,36,1046
2064,36,1128
2065,36,1115
2072,36,1049
2073,36,1005
2074,36,1109
2079,36,1046
2080,36,1057
2081,36,1065
2082,165,1059
2085,165,1038
2086,165,1061
2087,165,999
2088,165,989
2091,36,1115
2092,36,1063
2093,36,1073
2095,36,1085
2098,36,1128
2100,36,1076
2104,165,1109
2107,36,1008
2112,36,1024
2114,36,992
2117,165,1109
2118,36,1015
2120,36,1053
2123,36,1038
2125,36,1138
2128,36,998
2132,36,992
2134,165,1049
3006,36,751
3008,36,1247
3009,36,1038
3012,165,980
3021,36,992
3022,36,1065
3023,36,1073
3024,36,1065
3028,36,1094
3029,36,1082
3032,36,1049
3035,36,992
3038,36,1145
3043,165,1085
3050,36,1138
3054,36,1049
3058,36,1053
3061,36,1190
3073,36,1199
3074,36,1091
3075,39,1168
3075,165,1193
3077,36,1061
3078,36,1193
3080,36,1005
3082,36,1121
3085,36,1015
3088,36,1175
3091,36,1030
3092,36,1178
3094,36,1138
3102,36,1057
3108,36,1193
3109,36,1151
3119,36,1128
3126,36,980
3130,36,702
3137,36,1169
3140,36,1178
3143,36,1163
3144,36,1154
3148,36,1046
3149,36,1091
3161,36,1019
3166,36,1148
3168,36,1106
3178,36,1076
3179,36,1076
3186,165,1057
3189,165,1076
3191,165,1034
3199,36,1196
3200,36,1166
3213,36,1106
3219,36,992
3230,36,1106
3232,36,1154
3233,36,1073
3244,36,1091
3248,36,1100
3256,36,1073
3257,165,1148
3258,36,1118
3259,36,1049
3264,36,1054
3269,36,1070
3273,36,1027
3279,165,1038
3288,36,1181
3294,36,1250
3295,36,1223
3297,36,1000
3299,36,1005
3301,36,1169
3312,36,1011
3313,36,1000
3314,36,1057
3317,36,1148
3321,36,1053
3322,36,1238
3332,36,794
3336,36,1065
3340,36,1118
3342,36,1118
3343,36,1042
3344,36,1106
3359,36,1100
3364,36,1082
3368,36,1046
3369,36,1034
3372,36,1166
3386,36,1166
3390,36,1112
3394,36,1097
3395,36,1103
3401,36,1079
3402,36,1121
3403,36,1271
3407,36,1103
3410,36,1132
3411,36,1094
3415,36,1024
3418,36,1057
3438,36,1063
3439,36,1061
3458,165,1057
3461,36,1008
3462,36,1138
3463,36,1163
3464,36,1154
3473,36,1196
3483,36,983
3484,36,1082
3488,36,988
3489,36,1073
3504,36,977
3510,36,1079
3512,36,1042
3514,36,1082
3515,36,1027
3523,36,1211
3525,36,1211
3534,36,1172
3535,36,1199
3541,36,989
3548,36,985
3549,36,1012
3556,36,1027
3568,36,1046
3569,36,1151
3572,36,1151
3576,36,1042
3577,36,1065
3579,36,1091
3580,36,1046
3583,36,1079
3585,36,992
3586,36,1049
3587,36,1115
3594,36,1121
3597,36,1106
3599,36,1076
3613,36,1065
3618,36,1085
3623,36,1053
3624,36,1163
3625,36,1019
3628,36,1135
3629,36,992
3632,36,1172
3634,36,1012
3638,36,1034
3643,36,1042
3646,36,1132
3649,165,1042
3654,165,1024
3671,39,1648
3671,165,1655
3674,36,1107
3678,36,1145
3680,39,1234
3683,36,1027
3689,36,1000
3690,36,1163
3696,36,1112
3698,36,1184
3700,36,1038
3706,36,1030
3708,36,1076
3712,36,1070
3713,36,1082
3714,36,1025
3716,36,1042
3723,36,1073
3724,36,1163
3726,36,1199
3727,36,1187
3728,36,1220
3736,36,1000
3739,165,998
3742,39,1271
3753,36,1034
3763,36,1027
3764,36,989
3767,36,1057
3769,36,1024
3775,165,1132
3778,36,1166
3779,39,1165
3780,39,1171
3784,36,1057
3793,36,1094
3800,36,977
3838,165,1024
3849,36,1057
3856,36,1034
3860,36,1166
3861,36,1034
3865,36,1046
3871,36,1101
3874,36,1008
3877,36,1034
3880,36,1226
3883,36,983
3884,36,977
3887,36,1067
3888,36,1082
3892,36,1019
3897,36,1091
3901,36,1063
3903,36,1057
3911,36,1199
3912,36,1163
3922,36,825
3933,36,1172
3940,36,1061
3941,165,1024
3951,36,1166
3958,36,1057
3965,36,1000
3966,36,1169
3968,36,1067
3971,36,1059
3984,36,1172
3986,36,1015
3990,36,1148
3994,36,1094
3997,36,983
4001,36,1199
4009,36,1027
4012,36,1027
4014,36,1070
4017,36,992
4026,36,1079
4028,36,1190
4033,36,1094
4034,36,1112
4043,36,1145
4056,36,1172
4058,36,1049
4061,165,1157
4065,36,1046
4066,36,1046
4069,36,1046
4072,36,1005
4074,39,1162
4083,36,1118
4084,36,1079
4085,36,1274
4087,36,1151
4088,36,1112
4089,36,1211
4091,39,1222
4093,39,1213
4094,36,1190
4095,36,1202
4096,36,1190
4097,36,1199
4098,39,1186
4099,36,1187
4100,36,1138
4101,36,1118
4103,36,1157
4104,39,1222
4105,36,1112
4106,39,1246
4107,39,1258
4108,36,1271
4109,39,1258
4110,36,1214
4111,36,1226
4112,36,1042
4115,36,1094
4126,36,1089
4129,36,1030
4133,165,1073
4141,36,980
4146,36,1005
4158,36,1109
4165,36,1015
4171,36,1053
4181,36,1135
4183,36,1000
4197,36,944
4204,36,861
4207,36,1000
7000,36,1073
7001,36,1118
7005,36,1042
7009,36,1019
7010,36,1038
7012,36,1070
7017,36,1073
7019,36,1027
7021,36,1076
7023,36,1132
7026,165,1063
7027,165,1128
7028,165,1124
7030,36,1100
7033,36,1091
7038,36,1100
7041,36,1169
7042,36,985
7045,36,1073
7050,36,1151
7055,165,1163
7056,36,1004
7058,36,1073
7060,36,1067
7062,36,1034
7064,36,1034
7069,36,1046
7071,36,1079
7072,36,1067
7080,36,1034
7082,36,1015
7086,36,1124
7092,36,1097
7095,36,1046
7098,36,1067
7100,36,1053
7101,165,1157
7102,36,1015
7103,36,1079
7104,165,1024
7105,36,992
7110,36,1163
7111,36,1067
7112,36,1085
7114,36,1027
7116,165,998
7120,36,1042
7125,36,1030
7126,36,1030
7127,36,1100
7128,36,1079
7129,36,1057
7130,36,1157
7133,36,1061
7136,36,1073
7138,36,1046
7139,36,1085
7143,36,1115
7144,36,1151
7145,36,1057
7148,165,1095
7160,36,1065
7167,36,1059
7170,36,1030
7171,36,1005
7179,36,1166
7183,36,1002
7184,36,1019
7185,36,1059
7187,36,1053
7193,36,1097
7194,165,1079
7195,36,1094
7196,36,1190
7197,36,1151
7199,36,1097
7200,36,1076
7201,36,1148
7203,36,1190
7204,36,1030
7207,36,1076
7211,165,1154
7213,165,1172
7217,36,1038
7220,36,1067
7224,36,1121
7225,36,1067
7227,36,1094
7235,36,1042
7239,36,1046
7241,36,1100
7247,36,1138
7248,36,1076
7257,36,1151
7262,36,1138
7263,36,1097
7264,36,1042
7265,36,1061
7266,36,1063
7267,36,1073
7269,36,1063
7272,36,1042
7273,36,1067
7276,36,1132
7282,165,1049
7284,36,1073
7286,36,1073
7287,36,1076
7288,36,1015
7290,36,1100
7291,165,1106
7294,36,1070
7296,36,1118
7297,36,1073
7298,36,1160
7307,36,1112
7318,36,1094
7320,36,1085
7321,36,1065
7323,36,1015
7325,36,1151
7326,165,1024
7330,36,1115
7331,36,1073
7333,36,1038
7335,36,1172
7336,36,1027
7341,36,1019
7342,165,999
7343,165,1109
7347,36,1151
7348,36,1163
7351,36,1106
7355,36,1151
7360,36,1160
7363,36,1024
7364,36,1057
7374,36,1046
7378,36,1049
7382,36,1097
7384,36,1057
7389,36,1118
7397,36,1088
7398,36,1082
7402,36,1000
7403,36,1073
7404,36,1073
7408,36,1049
8002,36,1142
8003,36,1097
8005,36,985
8007,165,1142
8008,165,1115
8013,36,977
8014,36,1014
8016,36,1015
8017,36,1103
8019,36,1126
8019,36,1118
8022,36,1027
8024,36,1106
8025,36,1112
8029,36,1118
8030,36,1057
8031,36,1019
8032,36,956
8033,165,998
8034,36,1145
8037,36,1124
8038,165,1091
8041,165,933
8042,165,1088
8043,165,1015
8045,36,1107
8046,36,1082
8049,36,1002
8052,36,1115
8053,36,1073
8054,36,1115
8055,36,1124
8056,165,1085
8058,36,977
8059,36,1097
8061,36,1094
8062,165,1088
8063,36,1085
8064,165,1024
8065,36,1100
8066,36,1057
8069,165,1082
8070,36,1073
8071,36,1088
8075,36,949
8076,36,980
8077,36,1088
8078,36,1112
8079,36,1106
8080,36,954
8082,36,1106
8083,36,1128
8085,165,1057
8087,36,983
8088,36,1085
8089,36,1057
8090,36,1030
8093,36,1109
8094,36,1115
8095,36,954
8096,36,1000
8098,36,1070
8101,165,977
8107,36,966
8109,36,989
8110,36,1118
8112,36,955
8113,36,1145
8114,36,1118
8115,36,980
8116,36,1042
8117,36,1100
8118,165,1019
8119,165,1024
8121,36,980
8123,36,1106
8125,36,1076
8126,36,1049
8128,36,1100
8129,36,949
8131,36,1070
8132,165,1100
8136,36,1024
8137,36,1097
8139,36,1148
8140,36,1138
8141,36,1132
8142,36,1103
8143,36,1100
8146,36,1103
8150,36,977
8151,36,1145
8152,36,948
8153,36,980
8158,36,1121
8159,36,1148
8161,36,1138
8163,47,1108
8165,36,1027
8166,36,960
8168,36,1132
8170,36,1154
8171,36,1082
8172,36,1112
8173,36,1109
8174,36,1103
8176,36,985
8177,36,985
8179,36,1038
10010,36,1151
10011,36,1160
10028,36,1132
10038,36,1115
10061,36,1229
10062,36,1253
10067,36,1151
10068,36,1135
10069,36,1223
10071,36,1223
10072,36,1226
10073,165,1247
10074,36,1221
10084,39,1270
10086,36,1163
10110,36,1079
10118,36,1190
10127,36,1169
10131,36,1148
10142,36,1027
10147,36,1019
10148,36,1038
10149,36,1049
10150,36,1076
10151,36,1094
10152,36,1121
10154,165,1079
10156,36,1115
10164,36,1235
10167,36,988
10170,165,1027
10173,36,1049
10175,36,1059
10178,165,1046
10180,36,1076
10192,36,988
10193,36,992
10194,36,1000
10195,36,1030
10196,36,1088
10197,36,1142
10198,36,1106
10199,39,1150
10207,36,1163
10210,36,1160
10214,36,1070
10221,36,1042
10227,36,1163
10229,165,1061
10231,36,1091
10239,36,1151
10241,36,1190
10242,36,1220
10243,36,1190
10247,36,1169
10256,36,1195
10257,36,1169
10258,36,1199
10262,36,1106
10264,36,1187
10270,36,1190
10272,39,1216
10274,165,1256
10275,39,1258
10283,36,1190
10285,36,1172
10289,165,1181
10295,36,1199
10296,36,1214
10297,36,1223
10303,36,1157
10304,36,1172
10309,36,1169
10310,36,1109
10311,36,1121
10312,36,1118
10317,36,1145
10318,36,1145
10319,36,1169
10324,36,1184
10325,36,1172
10329,36,1184
10330,36,1187
10334,165,1187
10347,36,1100
10348,36,1106
10349,36,1145
10352,36,1214
10361,36,1163
10363,36,1217
10364,36,1193
10375,36,1157
10377,36,1217
10383,36,1187
10386,36,1223
10416,36,1107
10417,36,1042
10422,36,1157
10423,36,1187
10424,36,1205
10426,36,1270
10427,36,1214
10436,36,1193
10437,36,1190
10438,36,1211
10439,36,1184
10440,36,1199
10451,36,1088
10452,36,1088
10454,36,1121
10456,36,1151
10497,36,1118
10507,36,1202
10542,36,1274
10543,165,1256
10547,36,1067
10548,36,1065
10556,36,706
10559,36,1079
10560,36,1115
10565,165,1128
10566,36,1154
10568,36,1154
10571,36,1109
10572,36,1148
10575,36,1145
10577,36,1128
10579,36,1172
10581,165,1128
10585,36,1172
10588,36,1160
10589,36,1172
10592,36,1145
10593,36,1151
10594,36,1163
10598,36,1157
10604,36,1154
10612,36,1163
10614,36,1070
10616,36,1094
10617,36,1094
10618,36,1097
10620,36,1193
10623,165,998
10624,36,1100
10625,165,1135
10635,36,1160
10639,36,1154
10640,36,1157
10641,36,1157
10643,36,1091
10646,36,1103
10658,36,1169
10660,36,1073
10668,36,1115
10671,36,1132
10686,36,1112
10687,39,1123
10688,36,1154
10689,36,1196
10697,36,1145
10702,36,1148
10713,36,1163
10717,36,1202
10718,36,1190
10723,39,1261
10732,36,1247
10738,36,1250
10738,36,1250
10740,36,1315
10749,36,1178
10751,36,1142
10752,165,1178
10755,36,1193
10756,36,1250
10760,36,1067
10762,36,1115
10767,36,1220
10773,36,1181
10776,36,1214
10794,36,1187
10795,36,1163
10802,36,1318
10815,36,1315
10825,36,1128
10829,165,1178
10830,36,1151
10832,36,1169
10840,165,1181
10845,36,1124
10860,36,1154
10865,36,1142
10869,36,1157
10878,36,1138
10881,36,1214
10884,36,1138
10900,36,1160
10901,36,1187
10906,36,1103
10915,36,1175
10926,36,1128
10927,36,1160
10935,36,1217
10938,36,1148
10948,36,1226
10950,36,1217
10958,36,1027
10961,36,1135
10963,36,1042
10964,36,1091
10965,36,1079
10968,36,1100
10969,36,1100
10973,36,1109
10975,36,1193
10979,36,1154
10980,36,1138
10981,36,1160
10982,36,1160
10987,36,1241
10993,36,1112
10994,36,1115
10995,36,1115
10999,36,1181
11003,36,1151
11004,36,1160
11007,36,1226
11009,36,1178
11010,36,1196
11015,36,1211
11017,36,1024
11018,36,1034
11019,36,1042
11020,36,1046
11021,36,1053
11022,36,1079
11023,36,1085
11025,36,1091
11026,36,1091
11029,36,1235
11031,36,1053
11032,36,1053
11033,36,1063
11035,36,1073
11040,36,1250
11041,36,1082
11042,36,1053
11043,36,1094
11044,36,1145
11053,36,1169
11058,36,1154
11061,36,1172
11062,36,1193
11063,36,1229
11068,36,1184
11074,36,1184
11079,36,1109
11080,36,1073
11081,36,1226
11083,36,1097
11087,36,1235
11094,36,1202
11097,36,1253
11102,36,895
11103,36,1049
11106,36,1100
11108,36,1121
11109,36,1124
11110,36,1138
11111,36,1142
11114,36,1157
11115,36,1138
11119,36,1226
11121,36,1271
11132,36,1138
11133,36,1160
11135,36,1046
11136,36,1178
11137,36,1178
11139,36,1034
11142,36,1067
11143,36,1070
11180,36,1091
11181,36,1091
11182,36,1094
11183,36,1094
11184,36,1100
11186,36,1121
11187,36,1148
11188,36,1154
11189,36,1118
11192,36,1160
11194,36,1181
11195,36,1184
11196,36,1187
11199,36,751
11200,36,788
11201,36,790
11202,36,1015
11203,36,1024
11204,36,1076
11205,36,1196
11206,36,1160
11207,36,1208
11208,36,1193
11209,36,1220
11211,36,1046
11212,165,1065
11213,36,1073
11219,36,1085
11221,36,1091
11222,36,1094
11223,36,1030
11224,36,1034
11225,36,1079
11227,36,1070
11228,36,1049
11230,36,1079
11231,36,1091
11232,36,1067
11233,36,1079
11234,36,1079
11236,36,1034
11237,36,1053
11238,36,1073
11239,36,1097
11242,36,1106
11243,36,1100
11244,36,1100
11245,36,1100
11246,36,1100
11249,36,1112
11250,36,1112
11251,36,1118
11255,36,1124
11256,36,1128
11257,36,1128
11258,36,1145
11259,36,1132
11266,36,1160
11267,36,1103
11268,36,1105
11269,36,1106
11270,36,1109
11271,36,1109
11272,36,1118
11273,36,1124
11274,36,1128
11276,36,1151
11278,36,1154
11279,36,1157
11280,36,1148
11284,36,1097
11285,36,1109
11286,36,1100
11290,36,1238
11304,36,1235
11305,36,1247
11306,36,1235
11307,36,1115
11308,36,1097
11316,36,1059
11318,36,1109
11328,36,1205
11330,36,1202
11336,36,980
11337,36,1038
11338,36,1128
11340,36,1142
11341,36,1148
11348,36,1160
11355,36,1199
11356,36,1196
11357,36,1138
11358,36,1148
11359,36,1160
11363,36,1118
11367,36,1109
11372,36,1059
11373,36,1082
11377,36,1229
11378,36,1190
11381,36,1265
11384,36,1042
11385,36,1205
11389,36,1190
11391,36,1217
11397,36,1199
11404,36,1172
11407,165,1184
11409,36,1121
11411,36,1030
11412,36,1034
11413,36,1046
11414,36,1118
11415,36,1053
11416,36,1148
11419,36,1138
11422,36,1067
11428,36,1076
11429,36,1109
11430,36,1105
11431,36,1132
11435,36,1097
11437,36,1100
11438,36,1103
11439,165,1148
11444,36,1121
11445,36,1115
11446,36,1103
11450,165,1142
11455,36,1214
11456,36,1157
11459,36,1057
11460,36,1057
11461,36,1091
11462,36,1184
11464,36,1034
11465,36,1097
11466,36,1091
11470,39,1265
11472,36,1030
11473,36,1076
11474,36,1106
11482,36,1124
11489,36,1027
11490,36,1057
11491,36,1049
11492,36,1030
11493,36,1073
11494,36,1079
11497,165,1106
11498,36,1163
11503,36,1142
11504,36,1115
11508,36,1073
11509,36,1082
11510,36,1154
11511,36,1220
11515,36,1053
11517,36,1124
11518,36,1124
11538,36,1008
11540,36,1079
11546,36,1106
11547,36,1002
11549,36,1012
11551,36,1088
11552,36,1112
11554,36,1030
11555,36,1085
11557,36,1030
11564,36,1073
11566,36,1132
11571,36,1109
11572,36,1148
